           1   1.0000000474974513E-003   1.0000000474974513E-003
           2   2.0000000949949026E-003   2.0000010949950452E-003
           3   3.0000001424923539E-003   3.0000051424970663E-003
           4   4.0000001899898052E-003   4.0000141900258003E-003
           5   5.0000002374872565E-003   5.0000302376375320E-003
           6   6.0000002849847078E-003   6.0000552854385485E-003
           7   7.0000003324821591E-003   7.0000913336011380E-003
           8   8.0000003799796104E-003   8.0001403823795961E-003
           9   9.0000004274770617E-003   9.0002044321262249E-003
          10   1.0000000474974513E-002   1.0000285483307343E-002
          11   1.1000000522471964E-002   1.1000385536519292E-002
          12   1.2000000569969416E-002   1.2000506592504442E-002
          13   1.3000000617466867E-002   1.3000650652167212E-002
          14   1.4000000664964318E-002   1.4000819716590070E-002
          15   1.5000000712461770E-002   1.5001015787049567E-002
          16   1.6000000759959221E-002   1.6001240865032351E-002
          17   1.7000000807456672E-002   1.7001496952251186E-002
          18   1.8000000854954123E-002   1.8001786050660985E-002
          19   1.9000000902451575E-002   1.9002110162474842E-002
          20   2.0000000949949026E-002   2.0002471290180072E-002
          21   2.1000000997446477E-002   2.1002871436554240E-002
          22   2.2000001044943929E-002   2.2003312604681222E-002
          23   2.3000001092441380E-002   2.3003796797967248E-002
          24   2.4000001139938831E-002   2.4004326020156955E-002
          25   2.5000001187436283E-002   2.5004902275349458E-002
          26   2.6000001234933734E-002   2.6005527568014407E-002
          27   2.7000001282431185E-002   2.7006203903008071E-002
          28   2.8000001329928637E-002   2.8006933285589414E-002
          29   2.9000001377426088E-002   2.9007717721436184E-002
          30   3.0000001424923539E-002   3.0008559216661009E-002
          31   3.1000001472420990E-002   3.1009459777827493E-002
          32   3.2000001519918442E-002   3.2010421411966333E-002
          33   3.3000001567415893E-002   3.3011446126591425E-002
          34   3.4000001614913344E-002   3.4012535929716002E-002
          35   3.5000001662410796E-002   3.5013692829868770E-002
          36   3.6000001709908247E-002   3.6014918836110035E-002
          37   3.7000001757405698E-002   3.7016215958047868E-002
          38   3.8000001804903150E-002   3.8017586205854256E-002
          39   3.9000001852400601E-002   3.9019031590281278E-002
          40   4.0000001899898052E-002   4.0020554122677285E-002
          41   4.1000001947395504E-002   4.1022155815003097E-002
          42   4.2000001994892955E-002   4.2023838679848186E-002
          43   4.3000002042390406E-002   4.3025604730446906E-002
          44   4.4000002089887857E-002   4.4027455980694706E-002
          45   4.5000002137385309E-002   4.5029394445164357E-002
          46   4.6000002184882760E-002   4.6031422139122216E-002
          47   4.7000002232380211E-002   4.7033541078544461E-002
          48   4.8000002279877663E-002   4.8035753280133368E-002
          49   4.9000002327375114E-002   4.9038060761333609E-002
          50   5.0000002374872565E-002   5.0040465540348508E-002
          51   5.1000002422370017E-002   5.1042969636156392E-002
          52   5.2000002469867468E-002   5.2045575068526868E-002
          53   5.3000002517364919E-002   5.3048283858037192E-002
          54   5.4000002564862370E-002   5.4051098026088588E-002
          55   5.5000002612359822E-002   5.5054019594922628E-002
          56   5.6000002659857273E-002   5.6057050587637602E-002
          57   5.7000002707354724E-002   5.7060193028204892E-002
          58   5.8000002754852176E-002   5.8063448941485407E-002
          59   5.9000002802349627E-002   5.9066820353245973E-002
          60   6.0000002849847078E-002   6.0070309290175782E-002
